max_temp,min_temp,rainfall,Elev,Lat,Long
6.7,1.2,67.0,128,51.800,-0.350
8.1,3.1,41.6,47,51.477,0.004
7.8,2.2,82.3,59,51.454,-2.587
8.8,2.7,82.2,27,50.737,-3.405
6.7,1.4,73.2,66,52.767,-2.433
6.8,1.9,83.4,84,53.383,-1.483
9.2,3.8,123.5,32,50.352,-3.578
7.6,2.5,170.7,120,50.597,-3.716
6.0,1.0,202.7,324,51.772,-3.245
8.2,3.6,75.5,10,53.252,-4.537
7.3,1.6,46.6,26,52.245,0.103
7.2,1.4,74.5,126,51.161,-1.754
7.1,2.4,54.8,21,52.949,1.127
5.5,0.6,65.7,175,54.105,-0.641
6.5,1.5,124.2,115,53.850,-2.467
7.8,3.3,74.9,0,51.121,1.314
6.8,0.7,41.1,10,54.572,-1.323
6.9,1.6,81.0,28,54.933,-2.963
5.6,0.0,100.4,188,55.831,-3.223
6.8,1.1,231.0,60,54.429,-2.960
